50,50
1,1,24,39
25
2,2,7,2,7,7,2,7
2,12,7,12,7,17,2,17
2,22,7,22,7,27,2,27
2,32,7,32,7,37,2,37
2,42,7,42,7,47,2,47
12,5,17,5,17,10,12,10
12,15,17,15,17,20,12,20
12,25,17,25,17,30,12,32
12,35,17,35,17,40,12,42
12,45,17,45,17,49,12,49
22,2,27,2,27,7,22,7
22,12,27,12,27,17,22,17
22,22,27,22,27,27,22,27
22,32,27,32,27,37,22,39
22,42,27,42,27,47,22,47
32,5,37,5,37,10,32,10
32,15,37,15,37,20,32,20
32,25,37,25,37,30,32,32
32,35,37,35,37,40,32,40
32,45,37,45,37,49,32,49
42,2,47,2,47,7,42,7
42,12,47,12,47,17,42,17
42,22,47,22,47,27,42,27
42,32,47,32,47,37,42,37
42,42,47,42,47,47,42,47
